id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6400601;;Mandioca;Assado(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Frito(a);;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Refogado(a);;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Molho vermelho;;VEGANO;;;;;;;104,80;0,74;0,28;25,16;;1,58;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Com manteiga/óleo;;VEGANO;;;;;;;154,60;0,61;4,34;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Ensopado;;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Não se aplica;;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Cozido(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Assado(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Frito(a);;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Empanado(a)/à milanesa;;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Refogado(a);;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Molho vermelho;;VEGANO;;;;;;;104,80;0,74;0,28;25,16;;1,58;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Com manteiga/óleo;;VEGANO;;;;;;;154,60;0,61;4,34;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Ensopado;;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400609;;Aipim;Não se aplica;;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400610;;Macaxeira;Cru(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,87;1,23;2,97;0,03;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400610;;Macaxeira;Cozido(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,87;1,23;2,97;0,03;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400610;;Macaxeira;Assado(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,87;1,23;2,97;0,03;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400610;;Macaxeira;Frito(a);;VEGANO;;;;;;;162,74;0,57;5,26;28,60;;1,52;0,87;1,23;2,97;0,03;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400701;;Cará;Cozido(a);;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400701;;Cará;Frito(a);;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400701;;Cará;Refogado(a);;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400701;;Cará;Ensopado;;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400701;;Cará;Mingau;;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
