id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
35,,Batata-inglesa,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,35,GRAMA,100,263.5,2.9,13.6,33.6,0.0,3.4,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
36,,Batata-inglesa,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,36,GRAMA,100,111.7,1.7,3.0,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
37,,Mandioquinha salsa,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,37,GRAMA,100,76.0,1.4,0.1,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
38,,Mandioquinha salsa,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,38,GRAMA,100,91.7,1.4,1.9,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
39,,Cenoura amarela,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,39,GRAMA,100,76.0,1.4,0.1,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
40,,Batata-doce,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,40,GRAMA,100,76.0,1.4,0.1,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
41,,Batata-doce,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,41,GRAMA,100,76.0,1.4,0.1,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
42,,Batata-doce,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,42,GRAMA,100,90.0,2.0,0.1,20.7,0.0,3.3,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
43,,Batata-doce,FRITO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,43,GRAMA,100,351.3,4.4,12.6,56.9,0.0,8.0,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
44,,Batata-doce,REFOGADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,44,GRAMA,100,91.7,1.4,1.9,17.7,0.0,2.5,0.0,,0.1,,5.7,27.0,0.7,27.0,230.0,787.0,,0.9,12.8
45,,Inhame,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,45,GRAMA,100,100.0,1.7,0.1,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
46,,Inhame,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,46,GRAMA,100,100.0,1.7,0.1,23.4,0.0,1.8,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
47,,Inhame,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,47,GRAMA,100,90.0,2.0,0.1,20.7,0.0,3.3,0.0,0.0,0.0,0.0,3.3,35.0,0.5,8.0,377.0,1043.5,,0.8,9.1
