id_tabela_nutricional,kcal,porcao_padrao,qtde_acucar,qtde_alcool,qtde_calcio,qtde_carboidrato,qtde_ferro,qtde_fibra,qtde_gordura,qtde_monosaturada,qtde_polisaturada,qtde_potassio,qtde_proteina,qtde_saturada,qtde_sodio,qtde_trans,qtde_vitamina_a,qtde_vitamina_c,qtde_vitamina_d,qtde_vitamina_e,unidade_medida,id_alimento
57,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,57
58,162.7,100,,0.0,19.0,28.6,0.1,1.5,5.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,58
59,162.7,100,,0.0,19.0,28.6,0.1,1.5,5.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,59
60,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,1.2,3.0,100.0,0.6,0.9,1.0,0.0,,11.1,,,GRAMA,60
61,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,1.2,3.0,100.0,0.6,0.9,1.0,0.0,,11.1,,,GRAMA,61
62,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,1.2,3.0,100.0,0.6,0.9,1.0,0.0,,11.1,,,GRAMA,62
63,162.7,100,,0.0,19.0,28.6,0.1,1.5,5.3,1.2,3.0,100.0,0.6,0.9,1.0,0.0,,11.1,,,GRAMA,63
64,100.0,100,3.3,0.0,35.0,23.4,0.5,1.8,0.1,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,64
65,115.7,100,3.3,0.0,35.0,23.4,0.5,1.8,1.9,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,65
66,115.7,100,3.3,0.0,35.0,23.4,0.5,1.8,1.9,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,66
67,100.0,100,6.5,0.0,35.0,23.4,0.5,1.8,0.1,0.0,0.1,377.0,1.7,0.0,8.0,,1043.5,9.1,,0.8,GRAMA,67
68,86.0,100,0.9,0.0,8.0,20.0,0.3,2.0,0.1,0.0,0.0,328.0,1.7,0.0,5.0,,0.2,7.4,,0.1,GRAMA,68
69,86.0,100,0.9,0.0,8.0,20.0,0.3,2.0,0.1,0.0,0.0,328.0,1.7,0.0,5.0,,0.2,7.4,,0.1,GRAMA,69
70,86.0,100,0.9,0.0,8.0,20.0,0.3,2.0,0.1,0.0,0.0,328.0,1.7,0.0,5.0,,0.2,7.4,,0.1,GRAMA,70
71,86.0,100,0.9,0.0,8.0,20.0,0.3,2.0,0.1,0.0,0.0,328.0,1.7,0.0,5.0,,0.2,7.4,,0.1,GRAMA,71
72,263.5,100,0.9,0.0,8.0,33.6,0.3,3.4,13.6,0.0,0.0,328.0,2.9,0.0,5.0,,0.2,7.4,,0.1,GRAMA,72
73,111.7,100,0.9,0.0,8.0,20.0,0.3,2.0,3.0,0.0,0.0,328.0,1.7,0.0,5.0,,0.2,7.4,,0.1,GRAMA,73
74,76.0,100,5.7,0.0,27.0,17.7,0.7,2.5,0.1,0.4,1.1,230.0,1.4,0.3,27.0,,787.0,12.8,,0.9,GRAMA,74
75,116.4,100,5.7,0.0,27.0,16.8,0.7,2.4,5.1,0.4,1.1,230.0,1.3,0.3,27.0,,787.0,12.8,,0.9,GRAMA,75
76,91.7,100,5.7,0.0,27.0,17.7,0.7,2.5,1.9,0.4,1.1,230.0,1.4,0.3,27.0,,787.0,12.8,,0.9,GRAMA,76
77,16.0,100,2.9,0.0,25.0,3.4,0.3,1.6,0.1,0.0,0.1,233.0,0.7,0.0,39.0,,0.3,14.8,,,GRAMA,77
78,18.0,100,2.9,0.0,25.0,4.1,0.3,1.6,0.1,0.0,0.1,233.0,0.6,0.0,39.0,,0.3,14.8,,,GRAMA,78
79,43.0,100,6.5,0.0,16.0,9.6,0.8,2.8,0.2,0.0,0.1,325.0,1.6,0.0,78.0,,1.7,4.9,,0.0,GRAMA,79
80,44.0,100,6.5,0.0,16.0,10.0,0.8,2.0,0.2,0.0,0.1,325.0,1.7,0.0,78.0,,1.7,4.9,,0.0,GRAMA,80
81,67.6,100,6.5,0.0,16.0,10.0,0.8,2.0,2.9,0.0,0.1,325.0,1.7,0.0,78.0,,1.7,4.9,,0.0,GRAMA,81
82,41.0,100,4.7,0.0,33.0,9.6,0.3,2.8,0.2,0.0,0.1,320.0,0.9,0.0,69.0,,840.5,5.9,,0.9,GRAMA,82
83,35.0,100,4.7,0.0,33.0,8.2,0.3,3.0,0.2,0.0,0.1,320.0,0.8,0.0,69.0,,840.5,5.9,,0.9,GRAMA,83
84,60.5,100,4.7,0.0,33.0,8.0,0.3,2.9,3.2,0.0,0.1,320.0,0.7,0.0,69.0,,840.5,5.9,,0.9,GRAMA,84
85,60.5,100,4.7,0.0,33.0,8.0,0.3,2.9,3.2,0.0,0.1,320.0,0.7,0.0,69.0,,840.5,5.9,,0.9,GRAMA,85
86,22.0,100,1.9,0.0,33.0,5.1,0.2,2.0,0.1,0.7,1.7,177.0,0.7,0.5,16.0,0.0,,11.6,,0.0,GRAMA,86
