id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,dtt_criacao_alimento,alimento_ativo
197,,Espinafre,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
198,,Espinafre,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
199,,Espinafre,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
200,,Mostarda,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
201,,Mostarda,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
202,,Mostarda,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
203,,Repolho,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
204,,Repolho,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
205,,Repolho,FRITO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
206,,Repolho,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
207,,Cebolinha,PADRAO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
208,,Agrião,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
209,,Agrião,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
210,,Taioba,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
211,,Taioba,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
212,,Taioba,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
213,,Acelga,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
214,,Acelga,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
215,,Acelga,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
216,,Beterraba branca,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
217,,Almeirão,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
218,,Almeirão,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
219,,Almeirão,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
220,,Radite,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
221,,Radite,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
222,,Brócolis,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
223,,Brócolis,COZIDO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
224,,Brócolis,REFOGADO,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
225,,Serralha,CRU,TRUE,VEGANO,,2024-08-29 00:00:00,TRUE
